  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
    1  2.500000E-03  2.766724E-07  2.696817E+12  2.984540E+05  1.190476E+00  1.228909E+06
    2  7.500000E-03  4.312896E-06  1.730009E+11  2.984540E+05  3.571429E+00  3.112563E+05
    3  1.250000E-02  1.546646E-05  4.824214E+10  2.984540E+05  5.952381E+00  1.643642E+05
    4  1.750000E-02  3.586831E-05  2.080207E+10  2.984540E+05  8.333333E+00  1.079313E+05
    5  2.250000E-02  6.723139E-05  1.109801E+10  2.984540E+05  1.071429E+01  7.883456E+04
    6  2.750000E-02  1.110318E-04  6.720009E+09  2.984540E+05  1.309524E+01  6.134497E+04
    7  3.250000E-02  1.685870E-04  4.425814E+09  2.984540E+05  1.547619E+01  4.978409E+04
    8  3.750000E-02  2.410982E-04  3.094735E+09  2.984540E+05  1.785714E+01  4.162993E+04
    9  4.250000E-02  3.296766E-04  2.263233E+09  2.984540E+05  2.023810E+01  3.560071E+04
   10  4.750000E-02  4.353614E-04  1.713829E+09  2.984540E+05  2.261905E+01  3.097974E+04
   11  5.250000E-02  5.591318E-04  1.334453E+09  2.984540E+05  2.500000E+01  2.733667E+04
   12  5.750000E-02  7.019167E-04  1.062997E+09  2.984541E+05  2.738096E+01  2.439832E+04
   13  6.250000E-02  8.646017E-04  8.629816E+08  2.984541E+05  2.976191E+01  2.198340E+04
   14  6.750000E-02  1.048035E-03  7.119379E+08  2.984542E+05  3.214286E+01  1.996710E+04
   15  7.250000E-02  1.253030E-03  5.954654E+08  2.984543E+05  3.452382E+01  1.826090E+04
   16  7.750000E-02  1.480372E-03  5.040194E+08  2.984545E+05  3.690478E+01  1.680032E+04
   17  8.250000E-02  1.730819E-03  4.310887E+08  2.984546E+05  3.928573E+01  1.553736E+04
   18  8.750000E-02  2.005105E-03  3.721186E+08  2.984548E+05  4.166669E+01  1.443560E+04
   19  9.250000E-02  2.303943E-03  3.238524E+08  2.984551E+05  4.404766E+01  1.346690E+04
   20  9.750000E-02  2.628025E-03  2.839161E+08  2.984553E+05  4.642862E+01  1.260924E+04
   21  1.025000E-01  2.978023E-03  2.505485E+08  2.984557E+05  4.880959E+01  1.184513E+04
   22  1.075000E-01  3.354596E-03  2.224233E+08  2.984561E+05  5.119056E+01  1.116051E+04
   23  1.125000E-01  3.758383E-03  1.985272E+08  2.984566E+05  5.357154E+01  1.054397E+04
   24  1.175000E-01  4.190012E-03  1.780765E+08  2.984572E+05  5.595252E+01  9.986134E+03
   25  1.225000E-01  4.650095E-03  1.604579E+08  2.984578E+05  5.833351E+01  9.479263E+03
   26  1.275000E-01  5.139232E-03  1.451864E+08  2.984586E+05  6.071451E+01  9.016893E+03
   27  1.325000E-01  5.658011E-03  1.318747E+08  2.984595E+05  6.309551E+01  8.593593E+03
   28  1.375000E-01  6.207009E-03  1.202111E+08  2.984605E+05  6.547652E+01  8.204767E+03
   29  1.425000E-01  6.786791E-03  1.099421E+08  2.984616E+05  6.785755E+01  7.846500E+03
   30  1.475000E-01  7.397915E-03  1.008605E+08  2.984629E+05  7.023859E+01  7.515442E+03
   31  1.525000E-01  8.040926E-03  9.279538E+07  2.984643E+05  7.261964E+01  7.208704E+03
   32  1.575000E-01  8.716363E-03  8.560507E+07  2.984659E+05  7.500070E+01  6.923788E+03
   33  1.625000E-01  9.424755E-03  7.917123E+07  2.984678E+05  7.738179E+01  6.658520E+03
   34  1.675000E-01  1.016662E-02  7.339452E+07  2.984698E+05  7.976289E+01  6.411001E+03
   35  1.725000E-01  1.094248E-02  6.819112E+07  2.984720E+05  8.214402E+01  6.179565E+03
   36  1.775000E-01  1.175284E-02  6.348988E+07  2.984745E+05  8.452517E+01  5.962745E+03
   37  1.825000E-01  1.259819E-02  5.923018E+07  2.984772E+05  8.690634E+01  5.759245E+03
   38  1.875000E-01  1.347903E-02  5.536010E+07  2.984802E+05  8.928755E+01  5.567913E+03
   39  1.925000E-01  1.439585E-02  5.183499E+07  2.984835E+05  9.166879E+01  5.387727E+03
   40  1.975000E-01  1.534913E-02  4.861630E+07  2.984871E+05  9.405006E+01  5.217771E+03
   41  2.025000E-01  1.633934E-02  4.567062E+07  2.984911E+05  9.643138E+01  5.057227E+03
   42  2.075000E-01  1.736696E-02  4.296887E+07  2.984954E+05  9.881273E+01  4.905361E+03
